SEX,Age group,Provinces,Period,Total,Total2
Both sexes,0 years old,National Total,1 July 2019,356,615
Both sexes,1 year old,National Total,1 July 2019,388,370
Both sexes,2 years old,National Total,1 July 2019,413,402
Both sexes,3 years old,National Total,1 July 2019,430,800
Both sexes,4 years old,National Total,1 July 2019,440,440
Both sexes,5 years old,National Total,1 July 2019,441,964
Both sexes,6 years old,National Total,1 July 2019,451,740
Both sexes,7 years old,National Total,1 July 2019,472,523
Both sexes,8 years old,National Total,1 July 2019,483,686
Both sexes,9 years old,National Total,1 July 2019,491,317
Both sexes,10 years old,National Total,1 July 2019,509,768
Both sexes,11 years old,National Total,1 July 2019,514,265
Both sexes,12 years old,National Total,1 July 2019,504,309
Both sexes,13 years old,National Total,1 July 2019,498,445
Both sexes,14 years old,National Total,1 July 2019,491,781
Both sexes,15 years old,National Total,1 July 2019,486,144
Both sexes,16 years old,National Total,1 July 2019,474,579
Both sexes,17 years old,National Total,1 July 2019,466,572
Both sexes,18 years old,National Total,1 July 2019,469,19
Both sexes,19 years old,National Total,1 July 2019,468,566
Both sexes,20 years old,National Total,1 July 2019,460,981
Both sexes,21 years old,National Total,1 July 2019,459,739
Both sexes,22 years old,National Total,1 July 2019,462,910
Both sexes,23 years old,National Total,1 July 2019,463,860
Both sexes,24 years old,National Total,1 July 2019,469,414
Both sexes,25 years old,National Total,1 July 2019,483,423
Both sexes,26 years old,National Total,1 July 2019,501,714
Both sexes,27 years old,National Total,1 July 2019,509,747
Both sexes,28 years old,National Total,1 July 2019,513,533
Both sexes,29 years old,National Total,1 July 2019,522,615
Both sexes,30 years old,National Total,1 July 2019,532,342
Both sexes,31 years old,National Total,1 July 2019,541,582
Both sexes,32 years old,National Total,1 July 2019,552,907
Both sexes,33 years old,National Total,1 July 2019,569,958
Both sexes,34 years old,National Total,1 July 2019,591,451
Both sexes,35 years old,National Total,1 July 2019,613,394
Both sexes,36 years old,National Total,1 July 2019,642,313
Both sexes,37 years old,National Total,1 July 2019,676,412
Both sexes,38 years old,National Total,1 July 2019,709,279
Both sexes,39 years old,National Total,1 July 2019,737,952
Both sexes,40 years old,National Total,1 July 2019,766,699
Both sexes,41 years old,National Total,1 July 2019,789,745
Both sexes,42 years old,National Total,1 July 2019,802,891
Both sexes,43 years old,National Total,1 July 2019,807,431
Both sexes,44 years old,National Total,1 July 2019,801,748
Both sexes,45 years old,National Total,1 July 2019,789,341
Both sexes,46 years old,National Total,1 July 2019,777,893
Both sexes,47 years old,National Total,1 July 2019,770,3
Both sexes,48 years old,National Total,1 July 2019,758,378
Both sexes,49 years old,National Total,1 July 2019,749,45
Both sexes,50 years old,National Total,1 July 2019,741,699
Both sexes,51 years old,National Total,1 July 2019,740,65
Both sexes,52 years old,National Total,1 July 2019,732,317
Both sexes,53 years old,National Total,1 July 2019,719,358
Both sexes,54 years old,National Total,1 July 2019,719,777
Both sexes,55 years old,National Total,1 July 2019,705,592
Both sexes,56 years old,National Total,1 July 2019,675,500
Both sexes,57 years old,National Total,1 July 2019,654,882
Both sexes,58 years old,National Total,1 July 2019,647,80
Both sexes,59 years old,National Total,1 July 2019,637,739
Both sexes,60 years old,National Total,1 July 2019,619,611
Both sexes,61 years old,National Total,1 July 2019,603,196
Both sexes,62 years old,National Total,1 July 2019,574,211
Both sexes,63 years old,National Total,1 July 2019,544,266
Both sexes,64 years old,National Total,1 July 2019,521,698
Both sexes,65 years old,National Total,1 July 2019,507,431
Both sexes,66 years old,National Total,1 July 2019,504,291
Both sexes,67 years old,National Total,1 July 2019,484,753
Both sexes,68 years old,National Total,1 July 2019,460,988
Both sexes,69 years old,National Total,1 July 2019,461,429
Both sexes,70 years old,National Total,1 July 2019,476,942
Both sexes,71 years old,National Total,1 July 2019,462,670
Both sexes,72 years old,National Total,1 July 2019,427,703
Both sexes,73 years old,National Total,1 July 2019,422,384
Both sexes,74 years old,National Total,1 July 2019,415,831
Both sexes,75 years old,National Total,1 July 2019,396,199
Both sexes,76 years old,National Total,1 July 2019,360,516
Both sexes,77 years old,National Total,1 July 2019,315,8
Both sexes,78 years old,National Total,1 July 2019,328,426
Both sexes,79 years old,National Total,1 July 2019,294,872
Both sexes,80 years old,National Total,1 July 2019,242,827
Both sexes,81 years old,National Total,1 July 2019,264,232
Both sexes,82 years old,National Total,1 July 2019,281,277
Both sexes,83 years old,National Total,1 July 2019,276,347
Both sexes,84 years old,National Total,1 July 2019,255,899
Both sexes,85 years old,National Total,1 July 2019,241,145
Both sexes,86 years old,National Total,1 July 2019,224,576
Both sexes,87 years old,National Total,1 July 2019,198,709
Both sexes,88 years old,National Total,1 July 2019,174,102
Both sexes,89 years old,National Total,1 July 2019,150,395
Both sexes,90 years old,National Total,1 July 2019,125,664
Both sexes,91 years old,National Total,1 July 2019,102,799
Both sexes,92 years old,National Total,1 July 2019,82,526
Both sexes,93 years old,National Total,1 July 2019,66,224
Both sexes,94 years old,National Total,1 July 2019,51,144
Both sexes,95 years old,National Total,1 July 2019,38,884
Both sexes,96 years old,National Total,1 July 2019,28,724
Both sexes,97 years old,National Total,1 July 2019,20,288
Both sexes,98 years old,National Total,1 July 2019,13,731
Both sexes,99 years old,National Total,1 July 2019,9,222
Both sexes,100 years or more,National Total,1 July 2019,12,244
